1;perly;milk cream, cream, sugar, banana, bacteria;banana, milk;https://world.openfoodfacts.org/product/6111242100992
106;Plant soya pot plain;Water, 13% Soya Beans, Modified Maize Starch, Potato Starch, Sea Salt, Natural Flavouring.;soybeans;https://world.openfoodfacts.org/product/4056489466598
107;Dark soy sauce;water, soy sauce extract (22 %, water, soybean , salt, wheat flour), sugar, salt, colour - plain caramel, acidity regulators - lactic acid, citric acid, preservative - potassium sorbate;gluten, soybeans;https://world.openfoodfacts.org/product/5000111044202
108;Snack poppe TH;SOY flour (28%), tapioca starch (28%), dehydrated potato (16%), sunflower oil, whey permeate powder (MILK), rice flour, potato starch (3,6%), salt, tomato powder (0,8%), sugar, spices, herbs (of which 0,2% parsley 0,1% basil ground), natural flavouring, acidifier malic acid, colour (paprika extract).;milk, soybeans;https://world.openfoodfacts.org/product/3245550078681
109;Oat Mlk;Water, Oats (10%), Rapeseed Oil, Acidity Regulator (Tricalcium Phosphate), Calcium Carbonate, Salt.;gluten;https://world.openfoodfacts.org/product/5060406080223
110;Soya Drink Unsweetened;Water, Soya Bean (8%), Tricalcium Phosphate, Natural Flavouring, Stabiliser (Gellan Gum), Potassium lodide, Vitamin B12, Riboflavin, Vitamin D2.;soybeans;https://world.openfoodfacts.org/product/5057753181369
111;Premium dark soy sauce;Water, Salt, Colour (Plain Caramel), Sugar, Defatted Soybeans 10%, Wheat. Net 500 mL;gluten, soybeans;https://world.openfoodfacts.org/product/0078895126389
112;Light Soy Sauce;Soy sauce extract (51%, water, soybean, salt, wheat flour, water sugar salt, colcur (plain caramel), acidity regulators (citric acid, lactic acid), preservative (potassium sorbate), flavour enhancears (E631, E627).;gluten, soybeans;https://world.openfoodfacts.org/product/5000111044226
113;Soy Sauce;water, 16% soybeans, wheat, salt;gluten, soybeans;https://world.openfoodfacts.org/product/20521493
114;Bebida de Soja UHT;water, peeled soybeans (14%), salt,;soybeans;https://world.openfoodfacts.org/product/8480000293145
115;Saveur Barbecue;SOYA flour (30%), tapioca starch, dehydrated potato (13%), sunflower oil, potato starch (5%), rice flour, lactose (MILK), sugar, onions, salt, natural flavouring (MILK), yeast extract, tomatoes, colour paprika extract, acid malic acid.;celery, milk, soybeans;https://world.openfoodfacts.org/product/3245550078674
